Country,Code,Region,Subregion,Percapitaplasticwaste(kg/person/day),Plasticwastegeneration(tonnes),Mismanagedwaste(percent),Mismanagedwaste2025(percent)
Morocco,MAR,Africa,Northern Africa,0.073,863555.0,0.9739,1.0229
Mozambique,MOZ,Africa,Eastern Africa,0.015,132612.0,0.1444,0.4156
Myanmar,MMR,Asia,South-eastern Asia,0.075,1373018.0,1.4391,1.6637
Namibia,NAM,Africa,Southern Africa,0.144,114222.0,0.0172,0.0164
Nauru,NRU,Oceania,Micronesia,0.144,527.0,0.0017,0.0015
Netherlands,NLD,Europe,Western Europe,0.424,2571398.0,0.087,0.0469
New Caledonia,NCL,Oceania,Melanesia,0.252,22995.0,0.0015,0.001
New Zealand,NZL,Oceania,"Australia, New Zealand",0.331,525630.0,0.0292,0.0167
Nicaragua,NIC,Americas,Central America,0.143,299480.0,0.2651,0.2453
Nigeria,NGA,Africa,Western Africa,0.103,5961750.0,2.674,3.5916
North Korea,PRK,Asia,Eastern Asia,0.054,484700.0,0.9557,0.8839
Northern Mariana Islands,MNP,Oceania,Micronesia,0.252,5006.0,0.0007,0.0004
Norway,NOR,Europe,Northern Europe,0.28,499682.0,0.0264,0.0142
Oman,OMN,Asia,Western Asia,0.084,93251.0,0.0146,0.017
Pakistan,PAK,Asia,Southern Asia,0.103,6412210.0,1.5089,1.7682
Palau,PLW,Oceania,Micronesia,0.144,1076.0,0.0022,0.002
Palestine,PSE,Asia,Western Asia,0.063,87636.0,0.0176,0.027
Panama,PAN,Americas,Central America,0.145,192818.0,0.108,0.1024
Papua New Guinea,PNG,Oceania,Melanesia,0.103,267234.0,0.2821,0.3508
Peru,PER,Americas,South America,0.144,1543879.0,0.6106,0.5459
Philippines,PHL,Asia,South-eastern Asia,0.075,2565766.0,5.9153,7.3661
Poland,POL,Europe,Eastern Europe,0.097,1346905.0,0.0493,0.0389
Portugal,PRT,Europe,Southern Europe,0.265,1022683.0,0.0515,0.0281
Puerto Rico,PRI,Americas,Caribbean,0.252,342306.0,0.0519,0.0296
Qatar,QAT,Asia,Western Asia,0.16,103933.0,0.0024,0.0023
Romania,ROU,Europe,Eastern Europe,0.042,310385.0,0.0113,0.012
Russia,RUS,Europe,Eastern Europe,0.112,5839685.0,0.2536,0.1867
Saint Kitts and Nevis,KNA,Americas,Caribbean,0.654,12280.0,0.0022,0.0011
Saint Lucia,LCA,Americas,Caribbean,0.522,32882.0,0.0211,0.0125
Saint Vincent and the Grenadines,VCT,Americas,Caribbean,0.221,8818.0,0.007,0.0043
Samoa,WSM,Oceania,Polynesia,0.103,7000.0,0.0161,0.0159
Sao Tome and Principe,STP,Africa,Middle Africa,0.103,6571.0,0.016,0.0193
Saudi Arabia,SAU,Asia,Western Asia,0.156,1561618.0,0.0645,0.0635
Senegal,SEN,Africa,Western Africa,0.103,485586.0,0.8001,1.0687
Seychelles,SYC,Africa,Eastern Africa,0.358,11730.0,0.0145,0.0079
Sierra Leone,SLE,Africa,Western Africa,0.041,96655.0,0.1143,0.1756
Singapore,SGP,Asia,South-eastern Asia,0.194,359483.0,0.0203,0.0157
Sint Maarten (Dutch part),SXM,Americas,Caribbean,0.252,3263.0,0.0002,0.0001
Slovenia,SVN,Europe,Southern Europe,0.145,108421.0,0.0017,0.0014
Solomon Islands,SLB,Oceania,Melanesia,0.103,19842.0,0.064,0.2556
Somalia,SOM,Africa,Eastern Africa,0.054,237569.0,0.3188,0.4192
South Africa,ZAF,Africa,Southern Africa,0.24,4465798.0,1.9784,1.2106
South Korea,KOR,Asia,Eastern Asia,0.112,2025772.0,0.106,0.0764
Spain,ESP,Europe,Southern Europe,0.277,4709157.0,0.144,0.0853
Sri Lanka,LKA,Asia,Southern Asia,0.357,2621606.0,4.9968,2.7775
Sudan,SDN,Africa,Northern Africa,0.103,1292740.0,0.072,0.0754
Suriname,SUR,Americas,South America,0.163,31300.0,0.0124,0.0093
Sweden,SWE,Europe,Northern Europe,0.048,164305.0,0.0068,0.0076
Syria,SYR,Asia,Western Asia,0.178,1365594.0,0.4959,0.4415
Taiwan,TWN,Asia,Eastern Asia,0.252,,0.1436,0.0936
Tanzania,TZA,Africa,Eastern Africa,0.023,386998.0,0.1526,0.3101
Thailand,THA,Asia,South-eastern Asia,0.144,3532495.0,3.2274,3.1551
Togo,TGO,Africa,Western Africa,0.057,135294.0,0.1112,0.1404
Tonga,TON,Oceania,Polynesia,0.223,8476.0,0.0208,0.0149
Trinidad and Tobago,TTO,Americas,Caribbean,0.29,1745123.0,0.2954,0.1064
Tunisia,TUN,Africa,Northern Africa,0.144,559235.0,0.7358,0.638
Turkey,TUR,Asia,Western Asia,0.212,5596657.0,1.526,1.144
Turks and Caicos Islands,TCA,Americas,Caribbean,0.252,2851.0,0.0002,0.0001
Tuvalu,TUV,Oceania,Polynesia,0.144,554.0,0.0014,0.0012
Ukraine,UKR,Europe,Eastern Europe,0.103,1724509.0,0.4044,0.3379
United Arab Emirates,ARE,Asia,Western Asia,0.199,600741.0,0.0095,0.0086
United Kingdom,GBR,Europe,Northern Europe,0.215,4925590.0,0.2121,0.1363
United States,USA,Americas,Northern America,0.335,37825550.0,0.8649,0.4876
Uruguay,URY,Americas,South America,0.252,310379.0,0.0677,0.0116
Vanuatu,VUT,Oceania,Melanesia,0.295,25443.0,0.0706,0.055
Venezuela,VEN,Americas,South America,0.252,2669998.0,0.3214,0.2233
Vietnam,VNM,Asia,South-eastern Asia,0.103,3268227.0,5.7588,6.0407
Yemen,YEM,Asia,Western Asia,0.103,887497.0,0.531,0.744
